25 20
#############
#.....x.....#    ########
#...s...s...######......#
#....................x..#
#...........######......#
#.....s.....#    #......#
#...s.......#    #..a...#
#.w.........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..@....#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #########       ######
